rid,suburbname,postcode,state,startdate,enddate,lastupdate,msoid,centroidid,shapeuuid,changetype,processstate,urbanity,Shape__Length,Shape__Area,cadid,createdate,modifieddate,lganame,councilname,abscode,ltocode,vgcode,wbcode
41,EAST KILLARA,2071,2,20130115192446,30000101000000,20130116114140.276000,42,,12686c18-7827-340f-886f-6f09a8f761f0,M,,U,10857.703247064514,4575048.690257595,108029576,19950728000000,20130115192318,,,,,,
43,TURRAMURRA,2074,2,20151103080834,30000101000000,20151103101303.247000,44,,26bc093e-4275-3557-bec7-09392cbc78b1,M,,U,21559.385164371255,8714198.253331468,108029578,19950728000000,20151103080751,,,,,,
51,CANADA BAY,2046,2,20110114004951,30000101000000,20110114004951.445000,52,,7f3a08f9-60d7-3833-be0d-c8ab35ef246f,M,,U,3097.1911919471063,459316.8029006259,108029586,19950728000000,20110114004811,,,,,,
54,WAREEMBA,2046,2,20060825230654,30000101000000,20060825231612.970000,55,,cf430cc3-41fa-38e0-b892-e9b66eec06f6,M,,U,3571.5903770081813,468240.57503991586,108029589,19950728000000,20060825182453,,,,,,
58,ROSEVILLE CHASE,2069,2,20150505155026,30000101000000,20150505155111.432000,59,,07baa582-75bb-38c2-8560-58efbca06bc8,M,,U,6509.748771824259,1809404.8248473008,108029593,19950728000000,20150505154848,,,,,,
60,ST LEONARDS,2065,2,20150331134940,30000101000000,20150331142257.527000,61,,97689f6d-1d93-3366-981a-1ac4c8e05fad,M,,U,5570.596146973718,1155399.072617965,108029595,19950728000000,20150331134913,,,,,,
69,DENISTONE WEST,2114,2,20061102103832,30000101000000,20061102104910.703000,70,,5f5df847-6924-349b-8a77-98c5915028ec,M,,U,3178.3294359143583,465255.83280047955,108029604,19950728000000,20061101194555,,,,,,
70,MEADOWBANK,2114,2,20150311133635,30000101000000,20150311133831.612000,71,,d3e97218-a204-3e60-8cf8-00c9c91a5895,M,,U,5421.014994592125,1001730.1134892502,108029605,19950728000000,20150311133316,,,,,,
74,THE ROCKS,2000,2,20140225150342,30000101000000,20140225150750.381000,75,,2342026e-c8b5-3e81-9c45-b9dfab1a85c8,M,,U,3472.060216755734,297483.8159490727,108029609,19950728000000,20140225150248,,,,,,
77,WILLOUGHBY,2068,2,20150227154323,30000101000000,20150227154345.878000,78,,772ae248-c919-3fd4-8cb4-6b699c8bb635,M,,U,8297.214778360601,2354616.8751595444,108029612,19950728000000,20150227154156,,,,,,
85,DACEYVILLE,2032,2,20110727090237,30000101000000,20110727090245.215000,86,,b5e56850-e0fb-32ba-a8be-f025430b544b,M,,U,3796.244738251518,702824.8796039307,108029620,19950728000000,20110727084525,,,,,,
87,BURWOOD HEIGHTS,2136,2,20150129113913,30000101000000,20150129114009.593000,88,,2257e026-0149-3c00-9964-c3c494e6d2ec,M,,U,3039.1221081371323,341220.9620519478,108029622,19950728000000,20150129113722,,,,,,
100,COOGEE,2034,2,20061121174928,30000101000000,20061121180013.849000,101,,c7817dd5-752e-3810-b3b1-426243fd8222,M,,U,8714.564011543907,2854904.4461592836,108029635,19950728000000,20061120163930,,,,,,
